model,edited_matrix,calibration_examples,calibration_input_tokens_est,factor_token_rows,calibration_time_s,estimator_edit_time_s,end_to_end_upper_s,estimated_flops,model_pass_flops,factor_accumulation_flops,dense_algebra_flops,setup_in_npo_steps,setup_in_simnpo_steps,npo_s50_train_runtime_mean_s,simnpo_s50_train_runtime_mean_s,setup_vs_npo_s50_pct,setup_vs_simnpo_s50_pct,npo_matched_scratch_steps,simnpo_matched_scratch_steps,npo_matched_scratch_runtime_mean_s,simnpo_matched_scratch_runtime_mean_s,npo_wall_margin_min_s,simnpo_wall_margin_min_s
Llama-3.2-1B,2048x8192,512,47727.9,18614,18.366,61.789,80.157,3.62134888433664e14,3.53896956610560e14,2.654474338304e12,5.583457484800e12,6.996880,8.186219,197.0089666667,130.3185,40.6869805757,61.5085348588,73,86,285.5487,221.6204,3.5641,3.9729
Llama-3.2-3B,3072x8192,512,47727.9,18614,51.304,104.435,144.979,9.286639386556416e14,9.200268139493376e14,2.849656274944e12,5.787468431360e12,6.901905,8.075100,,,,,,,,,,
