forget,algo,init,steps,model_utility_mean,model_utility_std,forget_Q_A_Prob_mean,forget_Q_A_Prob_std,forget_Q_A_ROUGE_mean,extraction_strength_mean,seeds
forget01,NPO,kforge_s045,50,0.5731943395659765,0.000715725370980707,0.010408812892577163,0.0014448781169195493,0.2482217103151025,0.044456930978739234,3
forget01,NPO,kforge_s045,100,0.5788966488281898,0.0036760551225134726,0.010925289563207721,0.0014759641656267362,0.25326657473068687,0.046532245777096394,3
forget01,NPO,kforge_s045,250,0.5929577777551492,0.0009924556021082386,0.010671426222400743,0.001793747969731639,0.2478714934762193,0.047388923821274444,3
forget01,NPO,scratch,50,0.5780637908541593,0.002717810888418778,0.013806895321128346,0.0012013341621830826,0.26882795605462956,0.04829212407094168,3
forget01,NPO,scratch,100,0.5799152121257217,0.00019836236080752353,0.011858051755492247,0.0011842436546962458,0.2563456913457215,0.045823358116438895,3
forget01,NPO,scratch,250,0.5936172580302941,0.0008567865480685966,0.01018630341914104,0.0014886264958576558,0.2548136895262006,0.04708579893229894,3
forget01,SimNPO,kforge_s045,50,0.5702906920206591,0.007826503543783551,0.23796775235484044,0.008167491241377887,0.36260436951537556,0.11502318664734364,3
forget01,SimNPO,kforge_s045,100,0.5770158782943552,0.0072704123895220895,0.20880896200736365,0.005140366797065798,0.3581884334871108,0.11591457955880323,3
forget01,SimNPO,kforge_s045,250,0.5913011159970768,0.0035457155765567833,0.16818235581740737,0.005865617382828113,0.33484288585246613,0.10738804118215267,3
forget01,SimNPO,scratch,50,0.5733831461172265,0.007931453928226778,0.28833102335532507,0.005089646141109872,0.4113193337132726,0.1166309274969109,3
forget01,SimNPO,scratch,100,0.5799785826495594,0.00750746534864625,0.24186316207051275,0.008361849591433872,0.40736566859588597,0.09602098418472749,3
forget01,SimNPO,scratch,250,0.591871113446411,0.0033133453801577725,0.18823458670328064,0.002635430778774448,0.39374997315627813,0.09106482704927742,3
forget05,NPO,kforge_s045,50,0.5747852972599422,0.0031591883744020717,0.031982714810261915,0.002145078399655109,0.26368012728174395,0.06551025871596604,3
forget05,NPO,kforge_s045,100,0.5860320996290006,0.005188528443881439,0.02454038299581801,0.0009665441409337994,0.2690615184557019,0.06887481440812775,3
forget05,NPO,kforge_s045,250,0.599015635021258,0.003362722198947709,0.01773564786492443,0.0012772249723540198,0.271426394248786,0.06790933886952207,3
forget05,NPO,scratch,50,0.5420359137471856,0.006997896354457054,0.04986537494764585,0.005251590488678203,0.27087776249574747,0.06242098934615297,3
forget05,NPO,scratch,100,0.5776516829641895,0.00927033631016215,0.02800322507075786,0.0010304553025249318,0.28442331580579466,0.05987867330944174,3
forget05,NPO,scratch,250,0.5903502431997997,0.006481362127449486,0.022069433796756733,0.0016005785374737561,0.28590317966305134,0.05719765623423707,3
forget05,SimNPO,kforge_s045,50,0.5708306198361951,0.0036389542910021735,0.42547675407181185,0.012435528153209302,0.4178133036064524,0.15160870461165435,3
forget05,SimNPO,kforge_s045,100,0.5857888848796741,0.005088186705772294,0.3305558684592446,0.009561836427785268,0.39916003415803886,0.1262399414299701,3
forget05,SimNPO,kforge_s045,250,0.5940113863114481,0.0046274866111993985,0.23028436359328527,0.004026399464416491,0.37351635637956065,0.10458506997839677,3
forget05,SimNPO,scratch,50,0.5732226882681796,0.009674914936342417,0.5491878340144952,0.02912819321296712,0.4823990313266311,0.20664268654963916,3
forget05,SimNPO,scratch,100,0.586097988951594,0.0012580207405226804,0.41714461108048756,0.015949266618237014,0.43587047137254115,0.14855592784056512,3
forget05,SimNPO,scratch,250,0.59535031321805,0.006879831998548084,0.2797417741641402,0.00963251476399929,0.41343523909355956,0.11270446009227048,3
forget10,NPO,kforge_s045,50,0.5648133885165426,0.0032255668481952653,0.047086188001526356,0.0033647969171312665,0.2706676647544985,0.07160428238060275,3
forget10,NPO,kforge_s045,100,0.5869104270584772,0.001937650161430769,0.028926348229055824,0.001549798301245998,0.2753940486769579,0.07308113643222809,3
forget10,NPO,kforge_s045,250,0.6008798657236886,0.003246312973736273,0.021091729603442008,0.0005215412175901795,0.27506408978744945,0.07192763883982915,3
forget10,NPO,scratch,50,0.5093834391614128,0.004023002290379865,0.09314545919844629,0.0012014617256635154,0.2428794116354005,0.06790589081463681,3
forget10,NPO,scratch,100,0.5685878900908073,0.00920520184556145,0.043221532478355584,0.0019126009383037307,0.265959074238353,0.06505461930641325,3
forget10,NPO,scratch,250,0.5952145147980406,0.009339585206876035,0.02891379819632599,0.001729389816502186,0.27210532917540536,0.06371909745768463,3
forget10,SimNPO,kforge_s045,50,0.5722277931369438,0.006794268943713917,0.541869765414546,0.0016492427521883164,0.46195741747947267,0.1922362587208043,3
forget10,SimNPO,kforge_s045,100,0.5794821189714391,0.0026312660857895315,0.41261744838828845,0.008101191700824916,0.4161640824619182,0.14308606401054721,3
forget10,SimNPO,kforge_s045,250,0.5951164129792917,0.000882724376404066,0.2760155900195241,0.012067507998780211,0.3891234239355576,0.11080644574775596,3
forget10,SimNPO,scratch,50,0.5765691946804431,0.006477484963652616,0.6619263111924132,0.002506053159227203,0.5347295310579859,0.27032515255865813,3
forget10,SimNPO,scratch,100,0.5821858414933024,0.0019862913887412795,0.5182389033337435,0.009889226107022411,0.47219462471231033,0.17196160707637076,3
forget10,SimNPO,scratch,250,0.5956907812850291,0.002991261112856057,0.33695071380740654,0.005146046633263954,0.42174297496790675,0.11592023480883736,3
