forget,algo,init,steps,seed,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,source
forget05,NPO,diagonal,50,1,0.5674036138658802,0.04098877781547344,0.29305485377981644,0.07383560501921412,tofu_Llama-3.2-1B-Instruct_forget05_NPO_diagonal_S50_seed1_initctrl_EVAL_FP32
forget05,NPO,diagonal,50,2,0.5701416469027467,0.04230960238084663,0.2757849016677068,0.0682747782518594,tofu_Llama-3.2-1B-Instruct_forget05_NPO_diagonal_S50_seed2_initctrl_EVAL_FP32
forget05,NPO,random_rank2,100,0,0.5809492494661779,0.027739890536104213,0.2672791487362094,0.054693932021535406,tofu_Llama-3.2-1B-Instruct_forget05_NPO_random_rank2_S100_seed0_initctrl_EVAL_FP32
forget05,NPO,random_rank2,100,1,0.5806958619673821,0.02349699471794338,0.2776859560146768,0.055377385744343595,tofu_Llama-3.2-1B-Instruct_forget05_NPO_random_rank2_S100_seed1_initctrl_EVAL_FP32
forget05,NPO,random_rank2,100,2,0.5769513545058113,0.024917262503222445,0.28856957242667564,0.05531134830457795,tofu_Llama-3.2-1B-Instruct_forget05_NPO_random_rank2_S100_seed2_initctrl_EVAL_FP32
forget05,NPO,random_rank2,50,0,0.5586818181642098,0.04818063133803662,0.2844276459479193,0.05989896930946874,tofu_Llama-3.2-1B-Instruct_forget05_NPO_random_rank2_S50_seed0_initctrl_EVAL_FP32
forget05,NPO,random_rank2,50,1,0.5612660179440472,0.035835117645819994,0.2784701282316385,0.05797458518658007,tofu_Llama-3.2-1B-Instruct_forget05_NPO_random_rank2_S50_seed1_initctrl_EVAL_FP32
forget05,NPO,random_rank2,50,2,0.5514350668388895,0.0450022204281413,0.27662791631037026,0.0566849165509619,tofu_Llama-3.2-1B-Instruct_forget05_NPO_random_rank2_S50_seed2_initctrl_EVAL_FP32
forget05,NPO,weight_svd,100,0,0.5891601028455911,0.03481240444383729,0.31061409527182804,0.05726020064130868,tofu_Llama-3.2-1B-Instruct_forget05_NPO_weight_svd_S100_seed0_initctrl_EVAL_FP32
forget05,NPO,weight_svd,100,1,0.5934045497824275,0.034143087130032654,0.3177427217173103,0.06131755894353823,tofu_Llama-3.2-1B-Instruct_forget05_NPO_weight_svd_S100_seed1_initctrl_EVAL_FP32
forget05,NPO,weight_svd,100,2,0.5932889211062737,0.031683715541803395,0.31278174488909954,0.05944102283156342,tofu_Llama-3.2-1B-Instruct_forget05_NPO_weight_svd_S100_seed2_initctrl_EVAL_FP32
forget05,NPO,weight_svd,50,0,0.5654066333949309,0.04243553153857647,0.3107707352780108,0.05568817683678656,tofu_Llama-3.2-1B-Instruct_forget05_NPO_weight_svd_S50_seed0_initctrl_EVAL_FP32
forget05,NPO,weight_svd,50,1,0.5733987943347272,0.045732844017766186,0.3138981136275752,0.06262209649676455,tofu_Llama-3.2-1B-Instruct_forget05_NPO_weight_svd_S50_seed1_initctrl_EVAL_FP32
forget05,NPO,weight_svd,50,2,0.5802260517710992,0.039664472051954364,0.3006204729142897,0.059368885445393794,tofu_Llama-3.2-1B-Instruct_forget05_NPO_weight_svd_S50_seed2_initctrl_EVAL_FP32
forget05,SimNPO,random_rank2,100,0,0.58798074433963,0.4100189688801765,0.43855902571961053,0.15618276581777027,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_random_rank2_S100_seed0_initctrl_EVAL_FP32
forget05,SimNPO,random_rank2,100,1,0.585598015919208,0.3800017024949193,0.4374089594374722,0.13518018635679055,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_random_rank2_S100_seed1_initctrl_EVAL_FP32
forget05,SimNPO,random_rank2,100,2,0.5851224887576187,0.4123765280470252,0.43657509385155563,0.14559948679545506,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_random_rank2_S100_seed2_initctrl_EVAL_FP32
forget05,SimNPO,random_rank2,50,0,0.5647622725263103,0.5332539141923189,0.4760728312754908,0.20400032748119262,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_random_rank2_S50_seed0_initctrl_EVAL_FP32
forget05,SimNPO,random_rank2,50,1,0.5795473913715183,0.5000142015889287,0.4776721015245739,0.17621781936275085,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_random_rank2_S50_seed1_initctrl_EVAL_FP32
forget05,SimNPO,random_rank2,50,2,0.5780291239841638,0.5542452152818441,0.4691580302461497,0.20887762741396584,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_random_rank2_S50_seed2_initctrl_EVAL_FP32
forget05,SimNPO,weight_svd,100,0,0.5837705924367613,0.37128658071160314,0.41748333432711915,0.129467435319351,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_weight_svd_S100_seed0_initctrl_EVAL_FP32
forget05,SimNPO,weight_svd,100,1,0.590455867683072,0.3742564405873418,0.41863661074244424,0.12236392799257018,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_weight_svd_S100_seed1_initctrl_EVAL_FP32
forget05,SimNPO,weight_svd,100,2,0.5886779735060775,0.38037832006812095,0.42258813491657476,0.12743192844829268,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_weight_svd_S100_seed2_initctrl_EVAL_FP32
forget05,SimNPO,weight_svd,50,0,0.5710145898642766,0.46929420191794635,0.4530389064097203,0.15327144337247586,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_weight_svd_S50_seed0_initctrl_EVAL_FP32
forget05,SimNPO,weight_svd,50,1,0.5717306636093905,0.47153247766196726,0.4428661485110252,0.15489994258595988,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_weight_svd_S50_seed1_initctrl_EVAL_FP32
forget05,SimNPO,weight_svd,50,2,0.5829111309810072,0.4871862658113241,0.4411075652341674,0.16140608027888387,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_weight_svd_S50_seed2_initctrl_EVAL_FP32
