method,strength,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength
Base model,,0.5991534707368931,0.8804820564389229,0.8201171050577979,0.706268493976531
K-FORGE alpha=0.1,0.1,0.5989675831410621,0.8779311755299568,0.8138721863856435,0.6983266091888428
K-FORGE alpha=0.3,0.3,0.5952839121517333,0.8366291411966086,0.721161006331201,0.5919613471152441
K-FORGE alpha=0.35,0.35,0.5942853942832405,0.8205057790130377,0.6924169578687094,0.5422316127513502
K-FORGE alpha=0.45,0.45,0.5815786790574067,0.7744586505740881,0.6125788125026002,0.3895617715462173
K-FORGE alpha=0.6,0.6,0.5563967006275888,0.6572890876978635,0.5392330988636915,0.261814567859455
K-FORGE alpha=0.8,0.8,0.512500892403144,0.4108992986474186,0.4265485672943218,0.1298080051839301
