label,algo,steps,scratch_forget_prob,kforge_forget_prob,forget_relative_reduction_pct,scratch_utility,kforge_utility,utility_delta
NPO-50,NPO,50,0.0931454591984462,0.0470861880015263,49.44875637876316,0.5093834391614128,0.5648133885165426,0.05542994935512979
NPO-100,NPO,100,0.0432215324783555,0.0289263482290558,33.074218866391305,0.5685878900908073,0.5869104270584772,0.018322536967669834
NPO-250,NPO,250,0.0289137981963259,0.021091729603442,27.053064906145245,0.5952145147980406,0.6008798657236886,0.005665350925648016
SimNPO-50,SimNPO,50,0.6619263111924132,0.541869765414546,18.13744879873318,0.5765691946804431,0.5722277931369438,-0.004341401543499268
SimNPO-100,SimNPO,100,0.5182389033337435,0.4126174483882884,20.380842554661573,0.5821858414933024,0.5794821189714391,-0.00270372252186335
SimNPO-250,SimNPO,250,0.3369507138074065,0.2760155900195241,18.08428392964069,0.5956907812850291,0.5951164129792917,-0.0005743683057373161
