forget,algo,init,steps,model_utility_mean,model_utility_std,forget_Q_A_Prob_mean,forget_Q_A_Prob_std,forget_Q_A_ROUGE_mean,extraction_strength_mean,seeds
forget10,NPO,kforge_s045,50,0.5648133885165426,0.0032255668481952,0.0470861880015263,0.0033647969171312,0.2706676647544985,0.0716042823806027,3
forget10,NPO,kforge_s045,100,0.5869104270584772,0.0019376501614307,0.0289263482290558,0.0015497983012459,0.2753940486769579,0.073081136432228,3
forget10,NPO,kforge_s045,250,0.6008798657236886,0.0032463129737362,0.021091729603442,0.0005215412175901,0.2750640897874494,0.0719276388398291,3
forget10,NPO,scratch,50,0.5093834391614128,0.0040230022903798,0.0931454591984462,0.0012014617256635,0.2428794116354005,0.0679058908146368,3
forget10,NPO,scratch,100,0.5685878900908073,0.0092052018455614,0.0432215324783555,0.0019126009383037,0.265959074238353,0.0650546193064132,3
forget10,NPO,scratch,250,0.5952145147980406,0.009339585206876,0.0289137981963259,0.0017293898165021,0.2721053291754053,0.0637190974576846,3
forget10,SimNPO,kforge_s045,50,0.5722277931369438,0.0067942689437139,0.541869765414546,0.0016492427521883,0.4619574174794726,0.1922362587208043,3
forget10,SimNPO,kforge_s045,100,0.5794821189714391,0.0026312660857895,0.4126174483882884,0.0081011917008249,0.4161640824619182,0.1430860640105472,3
forget10,SimNPO,kforge_s045,250,0.5951164129792917,0.000882724376404,0.2760155900195241,0.0120675079987802,0.3891234239355576,0.1108064457477559,3
forget10,SimNPO,scratch,50,0.5765691946804431,0.0064774849636526,0.6619263111924132,0.0025060531592272,0.5347295310579859,0.2703251525586581,3
forget10,SimNPO,scratch,100,0.5821858414933024,0.0019862913887412,0.5182389033337435,0.0098892261070224,0.4721946247123103,0.1719616070763707,3
forget10,SimNPO,scratch,250,0.5956907812850291,0.002991261112856,0.3369507138074065,0.0051460466332639,0.4217429749679067,0.1159202348088373,3
